Lagos,2332459
Johannesburgo,993800
Kinsasa,2314302
Luanda,2240449
Dar_es-Salam,160263
Khartoum,379252
Nairobi,184745
Alejandria,361058
Abidjan,2293538
Ciudad_de_Mexico,3530597
Nueva_York,5128581
Los_Angeles,5368361
Chicago,4887398
Washington_DC,4140963
San_Francisco,5391959
Boston,4930956
Toronto,6167865
Filadelfia,4560349
Dallas,4684888
Santo_Domingo,3492908
Puerto_Principe,11162899
Ciudad_de_Guatemala,3598132
San_Jose,3621849
La_Habana,3553478
San_Juan,4568127
San_Salvador,3583361
Panama_City,3703443
Managua,3617763
San_Pedro_Sula,3601782
Sao_Paulo,3448439
Buenos_Aires,3435910
Rio_de_Janeiro,3451190
Lima,3936456
Bogota,3688689
Santiago_de_Chile,3871336
Belo_Horizonte,3470127
Porto_Alegre,3452925
Medellin,3674962
Brasilia,3469058
Canton,1809858
Tokio,1850147
Shanghai,1796236
Yakarta,1642911
Delhi,1273294
Manila,1701668
Bombay,11495707
Seul,1835848
Daca,1185241
Pekin,1816670
Teheran,112931
Riad,108410
Bagdad,98182
Aman,250441
Dubai,292223
Ankara,323786
Yida,105343
Kuwait,285570
Kabul,1138958
Damasco,170654
Bangkok,1609350
Kuala_Lumpur,1735161
Ciudad_Ho_Chi_Minh,1566083
Singapur,1880252
Bandung,1650357
Surabaya,1625822
Rangun,1298824
Medan,1214520
Londres,2643743
Paris,2988507
Madrid,3117735
Ruhr,2843198
Milan,3173435
Dusseldorf,2934246
Barcelona,3128760
Berlin,2950159
Napoles,3172394
Atenas,264371
Moscu,524901
Estambul,745044
San_Petersburgo,498817
Kiev,703448
Budapest,3054643
Katowice,3096472
Varsovia,756135
Bucarest,683506
Minsk,625144
Nizni_Novgorod,520555
Sidney,2147714
Melbourne,2158177
Brisbane,2174003
Perth,2063523
Auckland,2193733
Adelaida,2078025
Honolulu,5856195
